Fold,Error
1,0.027611462357758
2,0.026669134193678
3,0.036638834707327
4,0.019944549582441
5,0.032938689940877
6,0.036374572460530
7,0.030096484975983
8,0.023989557453941
9,0.024832283134124
10,0.031665663700140
