Fold,Error
1,0.068495526854462
2,0.036429360955115
3,0.052660343200938
4,0.025440599502774
5,0.037819474351699
6,0.028891351124378
7,0.029527888303009
8,0.018879555576745
9,0.011833490953761
10,0.030742129157889
