Individual,ScoreWeightsNoInitialization,ScoreWeightsInitialization
1,2,2
2,2,2
3,2,3
4,3,2
5,2,2
6,2,3
7,3,3
8,3,400
9,2,3
10,3,2
11,2,2
12,2,2
13,2,2
14,3,5
15,3,3
16,3,2
17,2,2
18,2,21
19,3,3
20,3,17
21,2,3
22,2,3
23,2,3
24,3,2
25,2,3
26,2,3
27,3,77
28,2,3
29,2,3
30,2,2
31,3,2
32,3,337
33,3,2
34,3,3
35,3,99
36,2,2
37,2,2
38,2,3
39,2,3
40,2,127
41,2,2
42,3,347
43,2,2
44,3,2
45,2,2
46,2,2
47,3,2
48,3,2
49,2,2
50,3,397
