Epoch, Error
0,0.132623742327556
1000,0.125251033407950
2000,0.124253995775873
3000,0.122576098533703
4000,0.123834710446009
5000,0.123608012025349
6000,0.110330622744544
7000,0.125565744631536
8000,0.119463795977375
9000,0.124129246031744
10000,0.120882370577583
11000,0.119140406726409
12000,0.171385301446586
13000,0.194048348575121
14000,0.023720888439539
15000,0.000077979439117
16000,0.000330460800831
17000,0.000034135999357
18000,0.000002364005686
19000,0.001037664241080
20000,0.000000950396850
