x,y
0.821423,0.357435
0.590866,0.0377172
0.132376,0.034377
0.324062,0.0329278
0.236906,0.10644
0.576551,0.0290859
0.576889,0.0501722
0.594074,0.108003
0.881048,0.032226
0.118897,0.0134241
0.759027,0.0142363
0.497105,0.139588
0.30864,0.130667
